line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,Hi Apiza,BE-POSITIVE,,,,,
2,1,Programmer,I am Programmer_18,INFORM,,,,,
3,2,Apiza,Hi! ,BE-POSITIVE,,,,,
3,3,Apiza,"I am Apiza, a virtual assistant built to help you navigate the Allegro API.",INFORM,,,,,
3,4,Apiza,How can I help you?,ELICIT-OFFER-OR-SUGGESTION,,,,,
4,5,Apiza,"Hi, Programmer_18!",BE-POSITIVE,,,,,
5,6,Programmer,What is the Allegro API?,ELICIT-INFORM,,,,,
6,7,Apiza,"Allegro\nAllegro logo\nAllegro logo\nOriginal author(s)\tShawn Hargreaves\nDeveloper(s)\tAllegro developers\nInitial release\tearly 1990; 28 years ago\nStable release\t\n5.2.4 / February 25, 2018; 7 months ago\nRepository\t\n<https://github.com/liballeg/allegro5>\nEdit this at Wikidata\nWritten in\tC\nOperating system\tWindows, Linux, macOS, et al.\nType\tMultimedia and Games SDK\nLicense\tAllegro 4: Beerware[1]\nAllegro 5: zlib\nWebsite\t<http://liballeg.org|liballeg.org>\n",OTHER,,,,,
6,8,Apiza,Allegro is a software library for video game development,INFORM,,,,,
7,9,Programmer,What is the purpose of the Allegro API?,ELICIT-INFORM,,,purpose,,
8,10,Apiza,Allegro is a software library for video game development,INFORM,,,purpose,,
9,11,Programmer,Does Allegro have a physics engine?,ELICIT-INFORM,,,functionality,,
10,12,Apiza,Allegro does not have a built-in physics engine.,INFORM,,,functionality,,
11,13,Programmer,what is ALLEGRO_DISPLAY,ELICIT-INFORM,,,basic,,
12,14,Apiza,```typedef struct ALLEGRO_DISPLAY ALLEGRO_DISPLAY```\n,INFORM,,,basic,,
12,15,Apiza,An opaque type representing an open display or window.,INFORM,,,basic,,
13,16,Programmer,What order are the keys in the keys array?,ELICIT-INFORM,,,structure,,
14,17,Programmer,determined by MYKEYS?,ELICIT-INFORM,,,structure,,
15,18,Apiza,I was able to find an example that may answer your question:\n,INFORM,,,structure,,
15,19,Apiza,"```\nenum MYKEYS {\n KEY_UP, KEY_DOWN, KEY_LEFT, KEY_RIGHT\n};```",INFORM,,,structure,,
16,20,Programmer,Does Allegro have an event for key press,ELICIT-INFORM,,,functionality structure,,
17,21,Apiza,There are three Event types relating to the keyboard:\n\n,INFORM,,,structure,,
17,22,Apiza,ALLEGRO_EVENT_KEY_DOWN\nALLEGRO_EVENT_KEY_UP\nALLEGRO_EVENT_KEY_CHAR\n\nThey share the attributes\n\n\nstruct ALLEGRO_DISPLAY *display\nint keycode\nint unichar\nunsigned int modifiers\nbool repeat,INFORM,,,structure,,
18,23,Programmer,How do I register for KEY_DOWN events,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
19,24,Programmer,How do I register for keyboard events?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
20,25,Apiza,"Once the keyboard has been installed with al_install_keyboard, the keyboard can be registered as an event source with\n\n```al_register_event_source(event_queue, al_get_keyboard_event_source());```",SUGGEST,,,patterns basic,,
21,26,Programmer,can more then one key be down at once?,ELICIT-INFORM,,,functionality,,
22,27,Apiza,"Using the ALLEGRO_EVENT_QUEUE struct, multiple keys can be down at once. Every key press will add a new ALLEGRO_EVENT to the ALLEGRO_EVENT_QUEUE, even if other keys are being held.",INFORM,,,functionality control,,
23,28,Programmer,false,ASSESS,,,functionality,,
24,29,Programmer,keybdnu.c:190: al_get_keyboard: Assertion `new_keyboard_driver' failed.,INFORM,,,functionality,,
25,30,Apiza,Keyboard errors may emerge if the keyboard driver is not successfully installed. ,INFORM,,,functionality patterns basic,,
25,31,Apiza,You can call al_is_keyboard_installed to confirm that the driver has installed properly:\n\n,SUGGEST,,,functionality patterns basic,,
25,32,Apiza,```bool al_is_keyboard_installed(void)```,INFORM,,,functionality patterns basic,,
26,33,Programmer,How do I install the keyboard?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
27,34,Apiza,```bool al_install_keyboard(void)```\n\n,INFORM,,,functionality patterns basic,,
27,35,Apiza,Install a keyboard driver. ,INFORM,,,functionality patterns basic,,
27,36,Apiza,"Returns true if successful. If a driver was already installed, nothing happens and true is returned.",INFORM,,,functionality patterns basic,,
28,37,Programmer,How do I add sound effects?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
29,38,Programmer,How do I play sound files?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
