line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,hello,BE-POSITIVE,,,,,
2,1,Apiza,Hello!,BE-POSITIVE,,,,,
3,2,Programmer,How are you?,ELICIT-INFORM,,,,,
4,3,Apiza,"I'm good,",INFORM,,,,,
4,4,Apiza,how about you?,ELICIT-INFORM,,,,,
5,5,Programmer,very well!,INFORM,,,,,
6,6,Programmer,How do you handle keyboard input in Allegro?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
7,7,Apiza,"To get started, you'll probably want to use al_install_keyboard:\n\n",SUGGEST,,,functionality patterns basic,,
7,8,Apiza,bool al_install_keyboard(void)\n\n,INFORM,,,functionality patterns basic,,
7,9,Apiza,Install a keyboard driver. ,INFORM,,,functionality patterns basic,,
7,10,Apiza,"Returns true if successful. If a driver was already installed, nothing happens and true is returned.",INFORM,,,functionality patterns basic,,
8,11,Programmer,what's next?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
9,12,Apiza,You\'ll probably want to look at one of the following events:\n\n,SUGGEST,,,functionality directives structure environment,,
9,13,Apiza,ALLEGRO_EVENT_KEY_DOWN\n\nA keyboard key was pressed.\n\nkeyboard.keycode (int)\nThe code corresponding to the physical key which was pressed. See the Key codes section for the list of ALLEGRO_KEY_* constants.\nkeyboard.display (ALLEGRO_DISPLAY *)\nThe display which had keyboard focus when the event occurred.\n\n,INFORM,,,functionality directives structure environment,,
9,14,Apiza,ALLEGRO_EVENT_KEY_UP\n\nA keyboard key was released.\n\nkeyboard.keycode (int)\nThe code corresponding to the physical key which was released. See the Key codes section for the list of ALLEGRO_KEY_* constants.\nkeyboard.display (ALLEGRO_DISPLAY *)\nThe display which had keyboard focus when the event occurred.\n\n,INFORM,,,functionality directives structure environment,,
9,15,Apiza,"ALLEGRO_EVENT_KEY_CHAR\n\nA character was typed on the keyboard, or a character was auto-repeated.\n\nkeyboard.keycode (int)\nThe code corresponding to the physical key which was last pressed. See the Key codes section for the list of ALLEGRO_KEY_* constants.\nkeyboard.unichar (int)\nA Unicode code point (character). This may be zero or negative if the event was generated for a non-visible ""character"", such as an arrow or Function key. In that case you can act upon the keycode field.\n\nSome special keys will set the unichar field to their standard ASCII values: Tab=9, Return=13, Escape=27. In addition if you press the Control key together with A to Z the unichar field will have the values 1 to 26. For example Ctrl-A will set unichar to 1 and Ctrl-H will set it to 8.\n\nAs of Allegro 5.0.2 there are some inconsistencies in the treatment of Backspace (8 or 127) and Delete (127 or 0) keys on different platforms. These can be worked around by checking the keycode field.\n\nkeyboard.modifiers (unsigned)\nThis is a bitfield of the modifier keys which were pressed when the event occurred. See ""Keyboard modifier flags"" for the constants.\nkeyboard.repeat (bool)\nIndicates if this is a repeated character.\nkeyboard.display (ALLEGRO_DISPLAY *)\nThe display which had keyboard focus when the event occurred.\nNote: in many input methods, characters are not entered one-for-one with physical key presses. Multiple key presses can combine to generate a single character, e.g. apostrophe + e may produce \'é\'. Fewer key presses can also generate more characters, e.g. macro sequences expanding to common phrases.",INFORM,,,functionality directives structure environment,,
10,16,Programmer,how do you handle keyboard events?,ELICIT-OFFER-OR-SUGGESTION,,,control patterns,,
11,17,Apiza,You'll probably want to use al_get_keyboard_event_source:\n\n,SUGGEST,,,functionality control patterns basic,,
11,18,Apiza,ALLEGRO_EVENT_SOURCE *al_get_keyboard_event_source(void)\n\n,INFORM,,,functionality control patterns basic,,
11,19,Apiza,Retrieve the keyboard event source. All keyboard events are generated by this event source.\n\n,INFORM,,,functionality control patterns basic,,
11,20,Apiza,Returns NULL if the keyboard subsystem was not installed.,INFORM,,,functionality control patterns basic,,
12,21,Programmer,how do you check key pressed state,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
13,22,Apiza,You can check that with al_key_down:\n\n,SUGGEST,,,functionality patterns basic,,
13,23,Apiza,"bool al_key_down(const ALLEGRO_KEYBOARD_STATE *state, int keycode)\n\n",INFORM,,,functionality patterns basic,,
13,24,Apiza,Return true if the key specified was held down in the state specified.,INFORM,,,functionality patterns basic,,
14,25,Programmer,how do you use ALLEGRO_KEYBOARD_STATE ?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
15,26,Apiza,What would you like to do with it? ,ELICIT-INFORM,,,functionality structure patterns,,
15,27,Apiza,Here\'s some basic information:\n\n,INFORM,,,functionality structure patterns,,
15,28,Apiza,ALLEGRO_KEYBOARD_STATE\n\ntypedef struct ALLEGRO_KEYBOARD_STATE ALLEGRO_KEYBOARD_STATE;\n\n,INFORM,,,functionality structure patterns,,
15,29,Apiza,"This is a structure that is used to hold a ""snapshot"" of a keyboard\'s state at a particular instant. ",INFORM,,,functionality structure patterns,,
15,30,Apiza,"It contains the following publically readable fields:\n\ndisplay - points to the display that had keyboard focus at the time the state was saved. If no display was focused, this points to NULL.\n",INFORM,,,functionality structure patterns,,
15,31,Apiza,You cannot read the state of keys directly. Use the function al_key_down.,INFORM,,,functionality structure patterns,,
16,32,Programmer,how do you retrieve the current ALLEGRO_KEYBOARD_STATE for the keyboard?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
17,33,Apiza,You can retrieve the keyboard state with al_get_keyboard_state:\n\n,SUGGEST,,,functionality patterns basic,,
17,34,Apiza,void al_get_keyboard_state(ALLEGRO_KEYBOARD_STATE *ret_state)\n\n,INFORM,,,functionality patterns basic,,
17,35,Apiza,Save the state of the keyboard specified at the time the function is called into the structure pointed to by ret_state.,INFORM,,,functionality patterns basic,,
18,36,Programmer,"great,",ASSESS,,,,,
18,37,Programmer, it works,INFORM,,,,,
19,38,Apiza,Great!,BE-POSITIVE,,,,,
20,39,Programmer,how do you play sounds in Allegro,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
21,40,Apiza,You'll probably want to start with al_install_audio:\n\n,SUGGEST,,,patterns basic,,
21,41,Apiza,bool al_install_audio(void)\n\n,INFORM,,,patterns basic,,
21,42,Apiza,Install the audio subsystem.\n\n,INFORM,,,patterns basic,,
21,43,Apiza,"Returns true on success, false on failure.\n\n",INFORM,,,patterns basic,,
21,44,Apiza,Note: most users will call al_reserve_samples and al_init_acodec_addon after this.,INFORM,,,patterns basic,,
22,45,Programmer,describe al_reserve_samples,ELICIT-INFORM,,,basic,,
23,46,Apiza,Here's some information on al_reserve_samples:\n\n,INFORM,,,functionality directives basic,,
23,47,Apiza,bool al_reserve_samples(int reserve_samples)\n\n,INFORM,,,functionality directives basic,,
23,48,Apiza,"Reserves a number of sample instances, attaching them to the default mixer. If no default mixer is set when this function is called, then it will create one and attach it to the default voice. If no default voice has been set, it, too, will be created.\n\nIf you call this function a second time with a smaller number of samples, then the excess internal sample instances will be destroyed causing some sounds to stop and some instances returned by al_lock_sample_id to be invalidated.\n\nThis diagram illustrates the structures that are set up:\n\n sample instance 1\n / sample instance 2\ndefault voice &lt;-- default mixer &lt;--- .\n \\ .\n sample instance N\n",INFORM,,,functionality directives basic,,
23,49,Apiza,"Returns true on success, false on error. ",INFORM,,,functionality directives basic,,
23,50,Apiza,al_install_audio must have been called first.,INFORM,,,functionality directives basic,,
24,51,Programmer,how do you play a single wav file in Allegro?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
25,52,Apiza,You'll probably want to use al_load_sample followed by al_play_sample:\n\n,SUGGEST,,,functionality directives quality patterns basic,,
25,53,Apiza,ALLEGRO_SAMPLE *al_load_sample(const char *filename)\n\n,INFORM,,,functionality directives quality patterns basic,,
25,54,Apiza,"Loads a few different audio file formats based on their extension.\n\nNote that this stores the entire file in memory at once, which may be time consuming. To read the file as it is needed, use al_load_audio_stream.\n\n",INFORM,,,functionality directives quality patterns basic,,
25,55,Apiza,"Returns the sample on success, NULL on failure.\n\n",INFORM,,,functionality directives quality patterns basic,,
25,56,Apiza,"Note: the allegro_audio library does not support any audio file formats by default. You must use the allegro_acodec addon, or register your own format handler.\n\n",INFORM,,,functionality directives quality patterns basic,,
25,57,Apiza,"bool al_play_sample(ALLEGRO_SAMPLE *spl, float gain, float pan, float speed,\n ALLEGRO_PLAYMODE loop, ALLEGRO_SAMPLE_ID *ret_id)\n\n",INFORM,,,functionality directives quality patterns basic,,
25,58,Apiza,Plays a sample on one of the sample instances created by al_reserve_samples.,INFORM,,,functionality directives quality patterns basic,,
25,59,Apiza," Returns true on success, false on failure. ",INFORM,,,functionality directives quality patterns basic,,
