line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,Hello,BE-POSITIVE,,,,,
2,1,Apiza,Hello!,BE-POSITIVE,,,,,
3,2,Programmer,"Hey, how do I get key press events?",ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
4,3,Apiza,Are you asking about the al_key_down method?,ELICIT-INFORM,,,patterns basic,,
5,4,Apiza,This method returns true if the key specified was held down in the state specified.,INFORM,,,functionality,,
6,5,Programmer,I would like to know how to know if a key was pressed,ELICIT-INFORM,,,patterns,,
7,6,Programmer,can you give me details on how to use al_key_down ?,ELICIT-INFORM,,,functionality,,
8,7,Apiza,"The method signature is bool al_key_down(const ALLEGRO_KEYBOARD_STATE *state, int keycode)",INFORM,,,basic,,
9,8,Apiza,Would you like to know about ALLEGRO_KEYBOARD_STATE?,ELICIT-INFORM,,,basic,,
10,9,Programmer,yes,INFORM,,,yes_no basic,,
11,10,Apiza,"This is a structure that is used to hold a ""snapshot"" of a keyboard\'s state at a particular instant. ",INFORM,,,functionality concepts structure,,
11,11,Apiza,"It contains the following publically readable fields: display - points to the display that had keyboard focus at the time the state was saved. If no display was focused, this points to NULL.",INFORM,,,functionality concepts structure,,
12,12,Programmer,how do I get a ALLEGRO_KEYBOARD_STATE?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
13,13,Apiza,Are you asking about the method al_get_keyboard_state?,ELICIT-INFORM,,,patterns basic,,
14,14,Programmer,yes,INFORM,,,yes_no basic,,
15,15,Apiza,This method saves the state of the keyboard specified at the time the function is called into the structure pointed to by ret_state.,INFORM,,,functionality structure,,
16,16,Apiza,void al_get_keyboard_state(ALLEGRO_KEYBOARD_STATE *ret_state,INFORM,,,basic,,
17,17,Programmer,what are the keycode for the arrow keys?,ELICIT-INFORM,,,patterns,,
18,18,Apiza,Are you asking about ALLEGRO_KEY_LEFT and ALLEGRO_KEY_RIGHT?,ELICIT-INFORM,,,patterns basic,,
19,19,Programmer,yes,INFORM,,,yes_no basic,,
20,20,Programmer,how do I initialize the keyboard?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
21,21,Apiza,Are you asking about the method al_install_keyboard?,ELICIT-INFORM,,,patterns basic,,
22,22,Programmer,yes,INFORM,,,yes_no basic,,
23,23,Apiza,The method installs a keyboard driver. ,INFORM,,,functionality,,
23,24,Apiza,"Returns true if successful. If a driver was already installed, nothing happens and true is returned.",INFORM,,,functionality,,
24,25,Apiza,bool al_install_keyboard(void),INFORM,,,basic,,
25,26,Programmer,how do I play a sound ?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
26,27,Apiza,Are you asking about al_play_sample_instance?,ELICIT-INFORM,,,patterns basic,,
27,28,Programmer,yes,INFORM,,,yes_no basic,,
28,29,Apiza,The method plays the sample instance. ,INFORM,,,functionality,,
28,30,Apiza,"Returns true on success, false on failure.",INFORM,,,functionality,,
29,31,Apiza,bool al_play_sample_instance(ALLEGRO_SAMPLE_INSTANCE *spl),INFORM,,,basic,,
30,32,Programmer,how do I get an ALLEGRO_SAMPLE_INSTANCE ?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
31,33,Apiza,"An ALLEGRO_SAMPLE_INSTANCE object represents a playable instance of a predefined sound effect. It holds information about how the effect should be played: These playback parameters consist of the looping mode, loop start/end points, playing position, speed, gain, pan and the playmode. Whether a sample instance is currently playing or paused is also one of its properties.\n\nAn instance uses the data from an ALLEGRO_SAMPLE object. Multiple instances may be created from the same ALLEGRO_SAMPLE. An ALLEGRO_SAMPLE must not be destroyed while there are instances which reference it.\n\nTo actually produce audio output, an ALLEGRO_SAMPLE_INSTANCE must be attached to an ALLEGRO_MIXER which eventually reaches an ALLEGRO_VOICE object.",INFORM,,,concepts directives structure patterns,,
32,34,Apiza,Are you interested in al_play_sample?,ELICIT-INFORM,,,patterns basic,,
33,35,Programmer,yes,INFORM,,,yes_no basic,,
34,36,Apiza,The method plays a sample on one of the sample instances created by al_reserve_samples. ,INFORM,,,functionality,,
34,37,Apiza,"Returns true on success, false on failure. ",INFORM,,,functionality,,
34,38,Apiza,Playback may fail because all the reserved sample instances are currently used.,INFORM,,,functionality,,
35,39,Apiza,"bool al_play_sample(ALLEGRO_SAMPLE *spl, float gain, float pan, float speed,\n ALLEGRO_PLAYMODE loop, ALLEGRO_SAMPLE_ID *ret_id)",INFORM,,,basic,,
36,40,Programmer,how do I get an ALLEGRO_SAMPLE,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
37,41,Apiza,Are you asking about al_get_sample_data?,ELICIT-INFORM,,,patterns basic,,
38,42,Programmer,yes,INFORM,,,yes_no basic,,
39,43,Apiza,The method return a pointer to the raw sample data.,INFORM,,,functionality,,
40,44,Apiza,void *al_get_sample_data(const ALLEGRO_SAMPLE *spl),INFORM,,,basic,,
41,45,Programmer,how do I load a sample from a file ?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
42,46,Apiza,Are you asking about al_create_sample?,ELICIT-INFORM,,,patterns basic,,
43,47,Programmer,yes,INFORM,,,yes_no basic,,
44,48,Apiza,"The method creates a sample data structure from the supplied buffer. If free_buf is true then the buffer will be freed with al_free when the sample data structure is destroyed. For portability (especially Windows), the buffer should have been allocated with al_malloc. Otherwise you should free the sample data yourself.",INFORM,,,functionality directives environment,,
45,49,Apiza,"ALLEGRO_SAMPLE *al_create_sample(void *buf, unsigned int samples,\n unsigned int freq, ALLEGRO_AUDIO_DEPTH depth,\n ALLEGRO_CHANNEL_CONF chan_conf, bool free_buf)",INFORM,,,basic,,
46,50,Apiza,"A sample that is referred to by the samples parameter refers to a sequence channel intensities. E.g. if you're making a stereo sample with the samples set to 4, then the layout of the data in buf will be: LRLRLRLR\nWhere L and R are the intensities for the left and right channels respectively. A single sample, then, refers to the LR pair in this example.\n",INFORM,,,concepts patterns examples,,
46,51,Apiza,"To allocate a buffer of the correct size, you can use something like this:\nint sample_size = al_get_channel_count(chan_conf)\n * al_get_audio_depth_size(depth);\nint bytes = samples * sample_size;\nvoid *buffer = al_malloc(bytes);",INFORM,,,concepts patterns examples,,
47,52,Programmer,how to load a wav file?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
48,53,Apiza,I'm not sure I understand,COMMENT-ABOUT-UNDERSTANDING,,,clarification,,
49,54,Programmer,how to load a sample from a wav?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
50,55,Apiza,Are you asking about al_get_sample?,ELICIT-INFORM,,,patterns basic,,
51,56,Programmer,yes,INFORM,,,yes_no basic,,
52,57,Apiza,The method returns the sample data that the sample instance plays.\n,INFORM,,,functionality structure patterns,,
52,58,Apiza,"Note this returns a pointer to an internal structure, not the ALLEGRO_SAMPLE that you may have passed to al_set_sample. However, the sample buffer of the returned ALLEGRO_SAMPLE will be the same as the one that was used to create the sample (passed to al_create_sample). You can use al_get_sample_data on the return value to retrieve and compare it.",INFORM,,,functionality structure patterns,,
53,59,Apiza,ALLEGRO_SAMPLE *al_get_sample(ALLEGRO_SAMPLE_INSTANCE *spl),INFORM,,,basic,,
54,60,Programmer,how do I play a sound file ?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
55,61,Apiza,Are you asking about al_play_sample?,ELICIT-INFORM,,,patterns basic,,
56,62,Programmer,no,INFORM,,,yes_no basic,,
57,63,Apiza,Are you asking about al_load_sample?,ELICIT-INFORM,,,patterns basic,,
58,64,Programmer,yes,INFORM,,,yes_no basic,,
59,65,Apiza,The method loads a few different audio file formats based on their extension.\n,INFORM,,,functionality quality,,
59,66,Apiza,"Note that this stores the entire file in memory at once, which may be time consuming. To read the file as it is needed, use al_load_audio_stream.\n",INFORM,,,functionality quality,,
59,67,Apiza,"Returns the sample on success, NULL on failure.",INFORM,,,functionality quality,,
60,68,Apiza,ALLEGRO_SAMPLE *al_load_sample(const char *filename),INFORM,,,basic,,
61,69,Programmer,how do I initialize audio?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
62,70,Apiza,Are you asking about al_init_acodec_addon?,ELICIT-INFORM,,,patterns basic,,
63,71,Programmer,yes,INFORM,,,yes_no basic,,
64,72,Apiza,"The method registers all the known audio file type handlers for al_load_sample, al_save_sample, al_load_audio_stream, etc.",INFORM,,,functionality purpose,,
65,73,Apiza,bool al_init_acodec_addon(void),INFORM,,,basic,,
