line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,hey,BE-POSITIVE,,,,,
2,1,Apiza,Hello!,BE-POSITIVE,,,,,
3,2,Programmer,How can I see if the user pressed a key,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
4,3,Apiza,Are you asking about al_key_down?,ELICIT-INFORM,,,patterns basic,,
5,4,Programmer,yes,INFORM,,,patterns yes_no,,
6,5,Programmer,also what does al_wait_for_event do?,ELICIT-INFORM,,,functionality,,
7,6,Programmer,what arguments does it take ,ELICIT-INFORM,,,basic,,
7,7,Programmer,and what does it return,ELICIT-INFORM,,,basic,,
8,8,Apiza,al_key_down returns true if the key specified was held down in the state specified.,INFORM,,,functionality,,
9,9,Apiza,"bool al_key_down(const ALLEGRO_KEYBOARD_STATE *state, int keycode)",INFORM,,,basic,,
10,10,Programmer,"what are the keycodes for up, down, left, and right arrowkeys",ELICIT-INFORM,,,patterns,,
11,11,Apiza,"al_wait_for_event waits until the event queue specified is non-empty. If ret_eventis not NULL, the first event in the queue will be copied into ret_event and removed from the queue. If ret_event is NULL the first event is left at the head of the queue.",INFORM,,,functionality control,,
12,12,Apiza,"void al_wait_for_event(ALLEGRO_EVENT_QUEUE *queue, ALLEGRO_EVENT *ret_event)",INFORM,,,basic,,
13,13,Apiza,"ALLEGRO_KEY_LEFT, ALLEGRO_KEY_RIGHT, ALLEGRO_KEY_UP, ALLEGRO_KEY_DOWN",INFORM,,,patterns,,
14,14,Programmer,"when a user presses a key, is a corresponding event placed in the event queue?",ELICIT-INFORM,,,control,,
15,15,Apiza,I believe so,INFORM,,,control yes_no,,
16,16,Programmer,Well I'll do an experiment and let you know,OFFER,,,programmer_usage,,
16,17,Programmer,:slightly_smiling_face:,BE-POSITIVE,,,programmer_usage,,
17,18,Programmer,what states can allegro_keyboard_state be in,ELICIT-INFORM,,,directives,,
18,19,Apiza,"ALLEGRO_KEYBOARD_STATE is a structure that is used to hold a ""snapshot"" of a keyboard\'s state at a particular instant. ",INFORM,,,functionality concepts directives structure,,
18,20,Apiza,"It contains the following publically readable fields: display - points to the display that had keyboard focus at the time the state was saved. If no display was focused, this points to NULL.\n",INFORM,,,functionality concepts directives structure,,
18,21,Apiza,You cannot read the state of keys directly. Use the function al_key_down.,INFORM,,,functionality concepts directives structure,,
19,22,Programmer,what's the event type for a key press,ELICIT-INFORM,,,patterns,,
20,23,Apiza,Are you asking about al_get_keyboard_event_source?,ELICIT-INFORM,,,patterns basic,,
21,24,Programmer,I don't know. ,INFORM,,,functionality non_answer,,
21,25,Programmer,What does that do?,ELICIT-INFORM,,,functionality non_answer,,
22,26,Apiza,The method retrieves the keyboard event source. All keyboard events are generated by this event source.\n,INFORM,,,functionality control,,
22,27,Apiza,Returns NULL if the keyboard subsystem was not installed.,INFORM,,,functionality control,,
23,28,Apiza,ALLEGRO_EVENT_SOURCE *al_get_keyboard_event_source(void),INFORM,,,basic,,
24,29,Programmer,what is the keyboard event type called,ELICIT-INFORM,,,basic,,
