line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,Anyone there?,ELICIT-COMMENT-ABOUT-UNDERSTANDING,,,,,
2,1,Apiza,Hi! ,BE-POSITIVE,,,,,
2,2,Apiza,"I am Apiza, a virtual assistant built to help you navigate the Allegro API. ",INFORM,,,,,
2,3,Apiza,How can I help you?,ELICIT-OFFER-OR-SUGGESTION,,,,,
3,4,Programmer,What functions are provided for keyboard input?,ELICIT-INFORM,,,structure,,
4,5,Apiza,"I found the following functions labelled as ""Keyboard routines"":\n\n",INFORM,,,structure,,
4,6,Apiza,al_install_keyboard\nal_is_keyboard_installed\nal_uninstall_keyboard\nal_get_keyboard_state\nal_clear_keyboard_state\nal_key_down\nal_keycode_to_name\nal_set_keyboard_leds\nal_get_keyboard_event_source,INFORM,,,structure,,
5,7,Programmer,what is the parameter list of ai_install_keyboard,ELICIT-INFORM,,,basic,,
6,8,Apiza,bool al_install_keyboard(void),INFORM,,,basic,,
7,9,Programmer,When does ai_install_keyboard return true?,ELICIT-INFORM,,,functionality,,
8,10,Apiza,"Returns true if successful. If a driver was already installed, nothing happens and true is returned.",INFORM,,,functionality,,
9,11,Programmer,What is the parameter list of al_uninstall_keyboard,ELICIT-INFORM,,,basic,,
10,12,Apiza,void al_uninstall_keyboard(void),INFORM,,,basic,,
11,13,Programmer,How can I implement keyboard input?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
12,14,Apiza,"To get keyboard input, you can utilize the ALLEGRO_EVENT struct. ",SUGGEST,,,patterns,,
12,15,Apiza,"The event types ALLEGRO_EVENT_KEY_DOWN, ALLEGRO_EVENT_KEY_UP, and ALLEGRO_EVENT_KEY_CHAR allow you to get keys pressed or released in event.keyboard.keycode",INFORM,,,patterns,,
13,16,Programmer,What is the parameter list for al_get_keyboard_event_source?,ELICIT-INFORM,,,basic,,
14,17,Apiza,ALLEGRO_EVENT_SOURCE *al_get_keyboard_event_source(void),INFORM,,,basic,,
15,18,Programmer,What type is event.keyboard.keycode,ELICIT-INFORM,,,basic,,
16,19,Apiza,keyboard.keycode (int)\nThe code corresponding to the physical key which was pressed.,INFORM,,,concepts basic,,
17,20,Programmer,How can I play sound effects?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
18,21,Apiza,The simplest method to Play Sound is al_play_sample:\n\n,SUGGEST,,,directives patterns basic,,
18,22,Apiza,"```bool al_play_sample(ALLEGRO_SAMPLE *spl, float gain, float pan, float speed,\n ALLEGRO_PLAYMODE loop, ALLEGRO_SAMPLE_ID *ret_id)```\n\n",INFORM,,,directives patterns basic,,
18,23,Apiza,"To use al_play_sample, you must first install the audio subsystem, the audio codec addon, reserve samples, and load sample",SUGGEST,,,directives patterns basic,,
19,24,Programmer,How do I install the audio subsystem?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
20,25,Apiza,This should install the audio subsystem:\n\n,SUGGEST,,,patterns basic,,
20,26,Apiza,```bool al_install_audio(void)```\n\n,INFORM,,,patterns basic,,
20,27,Apiza,Install the audio subsystem.,INFORM,,,patterns basic,,
21,28,Programmer,How can I install an audio codec addon?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
22,29,Apiza,```bool al_init_acodec_addon(void)```\n\n,INFORM,,,functionality patterns basic,,
22,30,Apiza,"This function registers all the known audio file type handlers for al_load_sample, al_save_sample, al_load_audio_stream, etc.",INFORM,,,functionality patterns basic,,
23,31,Programmer,How can I reserve and load audio samples?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
24,32,Apiza,*Reserve audio samples:\n\n```bool al_reserve_samples(int reserve_samples)```\n,INFORM,,,functionality patterns basic,,
24,33,Apiza,"Reserves a number of sample instances, attaching them to the default mixer.\n\n",INFORM,,,functionality patterns basic,,
24,34,Apiza,*Load audio samples:\n\n```ALLEGRO_SAMPLE *al_load_sample(const char *filename)```\n,INFORM,,,functionality patterns basic,,
24,35,Apiza,Loads a few different audio file formats based on their extension.,INFORM,,,functionality patterns basic,,
25,36,Programmer,Where are the samples allocated?,ELICIT-INFORM,,,functionality,,
26,37,Apiza,Audio samples are contained within the ALLEGRO_SAMPLE struct.,INFORM,,,functionality,,
27,38,Apiza,plauy,OTHER,,,,,
28,39,Programmer,Is this created by al_reserve_samples?,ELICIT-INFORM,,,functionality,,
29,40,Apiza,"al_reserve_samples Returns true on success, false on error.\n\n",INFORM,,,functionality,,
29,41,Apiza,"al_load_sample Returns the sample on success, NULL on failure.",INFORM,,,functionality,,
30,42,Programmer,is there a function to free samples?,ELICIT-INFORM,,,patterns,,
31,43,Apiza,al_destroy_sample should work:\n\n,SUGGEST,,,functionality patterns basic,,
31,44,Apiza,```void al_destroy_sample(ALLEGRO_SAMPLE *spl)```\n\n,INFORM,,,functionality patterns basic,,
31,45,Apiza,Free the sample data structure.,INFORM,,,functionality patterns basic,,
32,46,Programmer,What are possible values for ALLEGRO_PLAYNODE?,ELICIT-INFORM,,,structure,,
33,47,Apiza,enum ALLEGRO_PLAYMODE\n\n,OTHER,,,structure,,
33,48,Apiza,Description: Sample and stream playback mode.\n\n,INFORM,,,structure,,
33,49,Apiza,Values:\nALLEGRO_PLAYMODE_ONCE\nALLEGRO_PLAYMODE_LOOP\nALLEGRO_PLAYMODE_BIDIR,INFORM,,,structure,,
34,50,Programmer,What is the purpose of the last parameter in al_play_sample? (ALLEGRO_SAMPLE_ID *ret_id),ELICIT-INFORM,,,functionality,,
35,51,Apiza,"ret_id - if non-NULL the variable which this points to will be assigned an id representing the sample being played. If al_play_sample returns false, then the contents of ret_id are invalid and must not be used as argument to other functions.",INFORM,,,functionality directives,,
36,52,Programmer,How can I display text within the window frame?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
37,53,Apiza,The simplest method to Display text in window frame is al_draw_text:\n\n,SUGGEST,,,patterns basic,,
37,54,Apiza,"```void al_draw_text(const ALLEGRO_FONT *font,\n ALLEGRO_COLOR color, float x, float y, int flags,\n char const *text) ```\n\n",INFORM,,,patterns basic,,
37,55,Apiza,This requires the ALLEGRO_FONT add-on.,INFORM,,,patterns basic,,
38,56,Programmer,How can I initialize the ALLEGRO_FONT add-on?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
39,57,Apiza,```bool al_init_font_addon(void)```\n\n,INFORM,,,patterns basic,,
39,58,Apiza,Initialise the font addon.,INFORM,,,patterns basic,,
40,59,Programmer,How can I load a font?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
41,60,Apiza,The simplest method to Load a font is al_load_font:\n\n,SUGGEST,,,patterns basic,,
41,61,Apiza,"```ALLEGRO_FONT *al_load_font(char const *filename, int size, int flags)```\n\n",INFORM,,,patterns basic,,
41,62,Apiza,Loads a font from disk.,INFORM,,,patterns basic,,
42,63,Programmer,What are the parameters size and flags?,ELICIT-INFORM,,,concepts basic,,
43,64,Apiza,The size parameter is an int.\n\nThe flags parameter is passed through to either of those functions. Bitmap and TTF fonts are also affected by the current bitmap flags at the time the font is loaded.,INFORM,,,functionality basic,,
44,65,Programmer,What is the size of a font?,ELICIT-INFORM,,,concepts,,
45,66,Programmer,What are possible values for flags?,ELICIT-INFORM,,,directives,,
46,67,Apiza,I found a description of the int size for the similar method al_load_ttf_font:\n\n,INFORM,,,concepts,,
46,68,Apiza,"The size parameter determines the size the font will be rendered at, specified in pixels.",INFORM,,,concepts,,
47,69,Apiza,I found this list of supported values for the int flags:\n\n,INFORM,,,functionality directives structure environment,,
47,70,Apiza,"ALLEGRO_TTF_NO_KERNING - Do not use any kerning even if the font file supports it.\n\nALLEGRO_TTF_MONOCHROME - Load as a monochrome font (which means no anti-aliasing of the font is done).\n\nALLEGRO_TTF_NO_AUTOHINT - Disable the Auto Hinter which is enabled by default in newer versions of FreeType. Since: 5.0.6, 5.1.2",INFORM,,,functionality directives structure environment,,
48,71,Programmer,How can I free a font?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
49,72,Apiza,al_destroy_font\n\n,INFORM,,,functionality patterns basic,,
49,73,Apiza,```void al_destroy_font(ALLEGRO_FONT *f)```\n\n,INFORM,,,functionality patterns basic,,
49,74,Apiza,Frees the memory being used by a font structure. Does nothing if passed NULL.,INFORM,,,functionality patterns basic,,
50,75,Programmer,What are the values x and y in al_draw_text?,ELICIT-INFORM,,,functionality,,
51,76,Programmer,What are possible values for ALLEGRO_COLOR?,ELICIT-INFORM,,,directives,,
52,77,Apiza,The x and y variables are floats. ,INFORM,,,functionality basic,,
52,78,Apiza,"The function al_draw_text Writes the NUL-terminated string text onto the target bitmap at position x, y, using the specified font.",INFORM,,,functionality basic,,
53,79,Programmer,What is the coordinate system for x and y?,ELICIT-INFORM,,,concepts,,
54,80,Apiza,```typedef struct ALLEGRO_COLOR ALLEGRO_COLOR;```\n\n,INFORM,,,purpose patterns basic,,
54,81,Apiza,An ALLEGRO_COLOR structure describes a color in a device independent way. ,INFORM,,,purpose patterns basic,,
