line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,How would I get key input from the user?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
2,1,Apiza,Hi!,BE-POSITIVE,,,meta,,
2,2,Apiza,"I'm Apiza, a virtual assistant designed to help you with api questions! ",INFORM,,,meta,,
2,3,Apiza,I look forward to helping you today.,BE-POSITIVE,,,meta,,
3,4,Programmer,"Okay, ",ASSESS,,,patterns,,
3,5,Programmer,how would I get key input from the user?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
4,6,Apiza,Hi!,BE-POSITIVE,,,meta,,
4,7,Apiza,"I'm Apiza, a virtual assistant designed to help you with api questions! I",INFORM,,,meta,,
4,8,Apiza,I look forward to helping you today.,BE-POSITIVE,,,meta,,
5,9,Apiza,"you can use the al_wait_for_event(ALLEGRO_EVENT_QUEUE* q, ALLEGRO_EVENT* ev) function to get input from the user",INFORM,,,patterns,,
6,10,Programmer,What kind of data type does that return?,ELICIT-INFORM,,,basic,,
7,11,Apiza,"al_wait_for_event(ALLEGRO_EVENT_QUEUE* q, ALLEGRO_EVENT* ev) will populate the ALLEGRO_EVENT* object upon success",INFORM,,,functionality,,
8,12,Programmer,What variables does the ALLEGRO_EVENT* object have?,ELICIT-INFORM,,,structure,,
9,13,Apiza,would you like the entire union declaration?,OFFER,,,structure clarification,,
10,14,Programmer,Yes,ASSESS,,,structure yes_no,,
11,15,Apiza,"union ALLEGRO_EVENT\n{\n /* This must be the same as the first field of _AL_EVENT_HEADER. */\n ALLEGRO_EVENT_TYPE type;\n /* `any' is to allow the user to access the other fields which are\n * common to all event types, without using some specific type\n * structure.\n */\n ALLEGRO_ANY_EVENT any;\n ALLEGRO_DISPLAY_EVENT display;\n ALLEGRO_JOYSTICK_EVENT joystick;\n ALLEGRO_KEYBOARD_EVENT keyboard;\n ALLEGRO_MOUSE_EVENT mouse;\n ALLEGRO_TIMER_EVENT timer;\n ALLEGRO_TOUCH_EVENT touch;\n ALLEGRO_USER_EVENT user;\n};",INFORM,,,directives structure,,
12,16,Programmer,Can I have more information about the ALLEGRO_KEYBOARD_EVENT object?,ELICIT-INFORM,,,basic,,
13,17,Apiza,Sure!,INFORM,,,basic,,
13,18,Apiza,"ALLEGRO_KEYBOARD_EVENT is a struct that contains a display pointer, the keycode of the physical key pressed, and other information",INFORM,,,basic,,
14,19,Programmer,Can I see the definition?,ELICIT-INFORM,,,structure,,
15,20,Apiza,typedef struct ALLEGRO_KEYBOARD_EVENT\n{\n _AL_EVENT_HEADER(struct ALLEGRO_KEYBOARD)\n struct ALLEGRO_DISPLAY *display; /* the window the key was pressed in */\n int keycode; /* the physical key pressed */\n int unichar; /* unicode character or negative */\n unsigned int modifiers; /* bitfield */\n bool repeat; /* auto-repeated or not */\n} ALLEGRO_KEYBOARD_EVENT;,INFORM,,,structure,,
16,21,Programmer,Do you know what the keycodes are for the arrow keys?,ELICIT-INFORM,,,structure,,
17,22,Apiza,I believe allegro5 has predefined enum values for keycodes. ,INFORM,,,structure examples,,
17,23,Apiza,"For instance, you could compare ev.keyboard.keycode == ALLEGRO_KEY_UP",INFORM,,,structure examples,,
18,24,Programmer,It seems that the ALLEGRO_KEY_UP does not match ev.keyboard.keycode for some reason,INFORM,,,functionality,,
19,25,Apiza,"I am unsure,",INFORM,,,functionality,,
19,26,Apiza,can you provide me an example?,ELICIT-INFORM,,,functionality,,
20,27,Programmer,"ev.keyboard,keycode is returned large numbers, while ALLGRO_KEY_UP is simply 85",INFORM,,,functionality,,
21,28,Apiza,are you pressing the up arrow key and not getting ALLEGRO_KEY_UP?,ELICIT-INFORM,,,functionality,,
22,29,Programmer,Yes,INFORM,,,functionality,,
23,30,Apiza,I am unsure. ,INFORM,,,patterns,,
23,31,Apiza,What have you done to initialize the keyboard and allegro?,ELICIT-INFORM,,,patterns,,
24,32,Programmer,I have not initialized the keyboard,INFORM,,,patterns,,
25,33,Apiza,I believe that may have something to do with it,INFORM,,,patterns,,
26,34,Programmer,How would I initialize the keyboard?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
27,35,Apiza,you can use the function:\n\nbool al_install_keyboard(void)\n\nto initialize the keyboard,SUGGEST,,,patterns,,
28,36,Programmer,It does not seem to have had any affect,INFORM,,,functionality,,
29,37,Apiza,What else have you done to initialize allegro?,ELICIT-INFORM,,,patterns,,
30,38,Programmer,"I have done al_init(), al_create_display(), al_create_event_queue(), al_create_timer, and al_create_bitmap",INFORM,,,patterns,,
31,39,Apiza,Great! ,ASSESS,,,patterns,,
31,40,Apiza,Have you connected the event queue and devices?,ELICIT-INFORM,,,patterns,,
32,41,Programmer,"I don't think so,",INFORM,,,patterns,,
32,42,Programmer,what would that look like?,ELICIT-INFORM,,,patterns,,
33,43,Apiza,"you can use al_register_event_source(ALLEGRO_EVENT_QUEUE* q, EVENT_SOURCE* src). ",SUGGEST,,,patterns examples,,
33,44,Apiza,Would you like an example?,OFFER,,,patterns examples,,
34,45,Programmer,Yes,ASSESS,,,examples,,
35,46,Apiza,"ALLEGRO_EVENT_QUEUE* q = NULL;\nal_init();\nq = al_create_event_queue();\nal_install_keyboard();\nal_register_event_source(q, al_get_keyboard_event_source());",INFORM,,,examples,,
36,47,Programmer,How can I tell if the user isn't touching anything on the keyboard?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
37,48,Apiza,I am unsure. ,INFORM,,,control,,
37,49,Apiza,I assume no events would be fired then and the event queue would be always empty,INFORM,,,control,,
38,50,Programmer,How can I tell if the user is holding the key?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
39,51,Apiza,"Sorry, ",BE-POSITIVE,,,,,
39,52,Apiza,please clarify,SUGGEST,,,,,
40,53,Programmer,How can I play soudn?,OTHER,,,patterns,,
41,54,Programmer,How can I play sound?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
42,55,Apiza,The first step to playing audio is to initialize an audio driver,SUGGEST,,,patterns,,
43,56,Programmer,How do I initialize an audio driver?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
44,57,Apiza,You can use the function:\n\nbool al_install_audio(void)\n\nto initialize an audio driver,SUGGEST,,,patterns,,
45,58,Programmer,What's the next step?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
46,59,Apiza,The second step to playing audio is to initialize audio codecs,SUGGEST,,,patterns,,
47,60,Programmer,How do I initialize audio codecs?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
48,61,Apiza,You can do this using the function:\n\nbool al_init_acodec_addon(void),SUGGEST,,,patterns,,
49,62,Programmer,What's the next step?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
50,63,Apiza,There are several branches at this point that a user can take.,INFORM,,,patterns,,
50,64,Apiza,What are you attempting to do?\n\n1) Play a pre-recorded sample\n2) Play a sample recorded from a microphone,ELICIT-INFORM,,,patterns,,
51,65,Programmer,Play a pre-recorded sample,INFORM,,,patterns,,
52,66,Apiza,The first step to playing a sound file is to reserve the sample in memory.,SUGGEST,,,patterns,,
52,67,Apiza,This can be done using two functions:\n\nbool al_reserve_samples(int num_samples);\nALLEGRO_SAMPLE* sample = al_load_sample(const char* filepath);,INFORM,,,patterns,,
53,68,Programmer,What is the parameter num_samples,ELICIT-INFORM,,,functionality,,
54,69,Apiza,int num_samples in reference to function:\n\nbool al_reserve_samples(int num_samples)\n\n,INFORM,,,functionality,,
54,70,Apiza,refers to the number of sound files you want to load into memory.,INFORM,,,functionality,,
55,71,Programmer,"Okay, ",ASSESS,,,patterns,,
55,72,Programmer,what's the next step?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
56,73,Apiza,"The next step is to play the loaded ALLEGRO_SAMPLE* object using the function:\n\nbool al_play_sample(ALLEGRO_SAMPLE *spl, float gain, float pan, float speed,\n ALLEGRO_PLAYMODE loop, ALLEGRO_SAMPLE_ID *ret_id)",SUGGEST,,,patterns,,
57,74,Programmer,Can you explain to me the parameters of that function?,ELICIT-INFORM,,,functionality,,
58,75,Apiza,Sure!,INFORM,,,functionality,,
58,76,Apiza,Here is a description of the parameters:\n\n,INFORM,,,functionality,,
58,77,Apiza,"ALLEGRO_SAMPLE* spl: The sample file data\nfloat gain: The gain of the played sample\nfloat pan: The pan of the played sample\nfloat speed: The speed to play the file\nALLEGRO_PLAYMODE loop: whether to loop the file or not\nALLEGRO_SAMPLE_ID* ret_id: Typically NULL, however this is the return id to be used",INFORM,,,functionality,,
59,78,Programmer,And you explain more about ALLEGRO_PLAYMODE,ELICIT-INFORM,,,basic,,
60,79,Apiza,Here are the options for ALLEGRO_PLAYMODE:\n\n,INFORM,,,functionality structure,,
60,80,Apiza,Sample and stream playback mode.\n\n,INFORM,,,functionality structure,,
